scope,sequence,event,evidence,status,note
vol1-sec001-010,1,开窍大典,第4-6节,已核定,方源丙等、方正甲等
vol1-sec001-010,2,开窍后七天开始系统讲授并宣布本命蛊考核,第7节,已核定,此前方源已连续七天买酒搜寻酒虫
vol1-sec001-010,3,暴雨持续三天三夜后雨停,第10-11节,已核定,方源由炼化月光蛊转入客栈和山外探索
vol1-sec011-020,4,方源在山外发现酒虫并进入秘洞,第12-16节,已核定,青竹酒香引出酒虫
vol1-sec011-020,5,方源连续两天两夜炼化酒虫,第17-19节,已核定,之后再过两天触发反噬
vol1-sec011-020,6,酒虫反噬并引出春秋蝉,第19节,已核定,春秋蝉镇压酒虫和月光蛊
vol1-sec011-020,7,方源前往学堂领取头名奖励,第20节,已核定,学堂家老误认方源为方正
vol1-sec031-060,8,漠颜替漠北出头、高碗被方源杀死，漠尘以补偿与禁闭收束冲突,第31-38节,已核定,小辈竞争与长辈干预的规则边界确立
vol1-sec031-060,9,蛤蟆商队抵达，方源通过赌石公开酒虫并以猴儿酒机缘解释来源,第39-44节,已核定,贾金生由交易对象转为传承争夺者
vol1-sec031-060,10,方源诱杀贾金生，随后借堂审与竹君子验蛊洗脱嫌疑,第45-57节,已核定,验蛊中的春秋蝉压制属于意外变量
vol1-sec031-060,11,贾富离开，族长调整学堂态度，方源重返花酒传承入口破壁试探,第58-60节,已核定,第60节止于石粉留痕与酒气伪装
vol1-sec061-090,12,方源以野兔与石粉探通甬道，公开选择小光蛊并私得白豕蛊,第61-64节,已核定,白豕蛊的喂养成本开启持续资源线
vol1-sec061-090,13,方源为猎区图杀王二并收束王家，取得兽皮地图,第65-69节,已核定,江鹤以利益和身份掩盖命案
vol1-sec061-090,14,年中考核前后，王大连杀三名监考蛊师并误袭方正后伏诛,第73-77节,已核定,方源由线索推断王大威胁，不预知袭杀时点
vol1-sec061-090,15,方源获玉皮蛊、抵达一转巅峰；方正先晋二转初阶,第79-81节,已核定,年末第一成为方源的突破资源目标
vol1-sec061-090,16,年末考核后方源加入角三小组、识破分家任务封锁，并首次冲击二转失败,第82-90节,已核定,第90节止于决定以二转破局
