id,原文范围,伏笔内容,精编处理,后续核验点
F001,第1-2节,春秋蝉逆流光阴并以生命为代价,完整保留并作为重生根本机制,重生后的时间线与春秋蝉再现
F002,第1-2节,方源五百年记忆、宝藏和未来事件构成先机,完整保留,后续机缘是否与本批次的时间判断冲突
F003,第2节,方源丙等资质已被本人提前确认,完整保留,资质与后续修行速度、资源分配是否一致
F004,第4节,古月赤城实际丙等、由古月赤练作假,完整保留但不提前揭露具体破局方式,赤城作弊暴露及赤练派系反应
F005,第5节,希望蛊与人祖三蛊传说互文,完整保留,后续“希望”主题与方源道心的反复照应
F006,第5节,花海、灵泉和希望蛊共同构成开窍仪式,完整保留,青茅山灵泉及血脉设定的后文解释
F007,第6节,方源对方正说“未来的路，会很精彩”,完整保留,方正心理变化与兄弟关系长期走向
F008,第7-8节,花酒行者尸骸、遗藏与酒虫将在约两个月后被意外发现,完整保留,遗藏地点、发现者和时间是否与后文一致
F009,第7-10节,月光蛊与酒虫的本命蛊选择冲突,完整保留,方源最终获得酒虫的顺序与炼化结果
F010,第9节,方源双亲遗产须待十六岁长子继承,完整保留,舅父舅母逐出方源的策略与遗产归属
F011,第9节,沈翠被安排勾引方源并制造非礼陷害,完整保留,陷害事件的执行者、时间和方源应对
F012,第10节,丙等资质在炼蛊时受元海容量与恢复速度限制,完整保留,后续炼化考核、元石数量和方正进度
F013,第11-16节,酒虫是花酒行者原本的本命蛊，品级跌落但意志仍保留,完整保留并通过酒虫炼化反噬兑现,酒虫与花酒行者残留意志的后续关联
F014,第14-16节,花酒行者与四代族长的真实历史,以留影存声蛊完整呈现，保留家族篡改历史的推断,后续古月一族对四代族长和花酒遗藏的态度
F015,第15-19节,月影蛊限制元海真元并造成花酒行者败退,保留为历史冲突和花酒行者带伤退走的原因；不提前断定死因,后文已明确月影蛊不是主要死因，并将刀翅血蝠作为重伤来源的可能解释
F016,第15-16节,留影存声蛊保存石壁影像并构成家族篡史证据,完整保留其食性、触发方式和消耗型特征,影像是否被方源利用或交易
F017,第16节,方源可能把影像卖给白家寨或熊家寨,完整保留为利益交换伏笔,后续两寨关系及影像交易是否发生
F018,第17-19节,酒虫炼化反噬并引出春秋蝉,完整保留反噬、春秋蝉苏醒和镇压低阶蛊虫的因果,春秋蝉虚弱状态及再次催动风险
F019,第19-20节,春秋蝉随方源重生但元气大伤,完整保留为六转本命蛊再现的解释,春秋蝉恢复、催动与长生目标的关系
F020,第16-20节,酒虫能够提纯真元，方源以其替代月光蛊作为更优修行选择,完整保留并以元石消耗、炼化难度和本命蛊选择呈现,后续酒虫提纯比例和修行收益
F021,第16-18节,方源不向家族报告遗藏，方正与方源决裂,完整保留人物立场、利益计算和兄弟心理转折,遗产争夺、方正怨气和舅父舅母的利用
