scope,location,event,amount,effect,status,note
vol1-sec001-010,第8节前后,方源连续七天购酒并搜寻酒虫,未统一,原有积蓄基本耗尽,底本与精编均保留,正文只确认第10节前身上剩余两块
vol1-sec001-010,第9节,舅父舅母分别给兄弟六块元石,方源6,方正6,已核定,方正过继前仍称舅父舅母
vol1-sec001-010,第10节,方源炼化月光蛊的预估,5-8,预计需要外力补充真元,预估值,未实际完成并被酒虫路线取代
vol1-sec011-020,第11节,方源支付客栈和酒菜费用,2,剩余数额沿用“只剩四块”的底本口径,已核定,后续青竹酒另支出两块
vol1-sec011-020,第12节,方源购买青竹酒,2,身上剩余两块,已核定,作为引出酒虫的最后投入
vol1-sec011-020,第16节,花酒行者遗藏元石,15,方源总数记为17块,已核定,遗藏数量与方源此前剩余两块一致
vol1-sec011-020,第17节,方源估算炼化酒虫消耗,11-16,十七块可能只剩一至六块,预估值,后文实际数字与底本总账存在冲突
vol1-sec011-020,第18节,方正支付给方源的元石,5.5,方源收取方正全部积蓄,已核定,六块中一块已被抽去近半真元
vol1-sec011-020,第18节,舅父重新给方正元石,6,方正重新获得修行资源,已核定,不等同于方源收入
vol1-sec011-020,第18节,方源两天两夜炼化酒虫,12,正文称炼化进度不足十五分之一,底本矛盾,与第19节“六块/六块半”及后文资产总账不一致
vol1-sec011-020,第19节,前期炼化酒虫累计消耗,6或6.5,正文后续资产总账按六块半计算,底本矛盾,本轮改为中性表述，不强行统一
vol1-sec011-020,第19节,春秋蝉气息辅助炼化酒虫和月光蛊,近0,主要消耗空窍中的青铜真元,已核定,不应再次重复计入酒虫前期消耗
vol1-sec031-060,第40-44节,方源参与紫金石赌石并公开获得酒虫,按段落分别呈现,酒虫来源被伪装为猴儿酒机缘,已核定,不跨节补算赌石投入与收益
vol1-sec031-060,第45节,方源与贾金生约定传承交易,2000,贾金生以两千块元石为交易价码,已核定,交易未完成，不能视为方源实际所得
vol1-sec031-060,第50节,酒虫提纯真元并推动方源晋升一转中阶,未新增元石结算,苍青真元与水膜形成,已核定,晋升来自既有修行积累与酒虫效用
vol1-sec061-090,第63-71节,白豕蛊喂养与力量积累,每五日一头成年野猪肉,力量逐步增长至一猪之力,已核定,不能按即时增力处理
vol1-sec061-090,第79-80节,玉皮蛊喂养,十日二两玉石,维持玉皮蛊防御,已核定,与方源元石压力并行
vol1-sec061-090,第73与78节,年中考核猪牙收益,按正文段内呈现,方源借预埋猪牙获第一并调整勒索策略,已核定,不跨节补算总资产
vol1-sec061-090,第81-89节,年末考核第一奖励,一百五十或一百,缓解方源冲击二转的资源压力,底本冲突,第81-82节为一百五十；第86、89节为一百
vol1-sec061-090,第88节,角三小组采集腐泥冻土任务,六块元石,组长二块，余者各一块,已核定,新人扶持补贴被角三截留为控制手段
