id,scope,issue,evidence_level,source_locations,conflict_or_question,interim_policy,final_decision,status,reviewed_at
FD001,vol1-sec011-020,花酒行者死因,C,第15-16节；第19节；后文相关判断,早期历史叙述将败退与死亡相连，后文判断月影蛊不是主要死因且刀翅血蝠更符合重伤来源,正文保留月影蛊造成真元牵制和带伤退走，不断定死因；细纲标记后文回收,待全书证据整合后决定是否统一表述,open,2026-08-06
FD002,vol1-sec001-020,前二十节元石流水,C,第8-10节；第11-19节；resource-ledger.csv,底本同时出现六块或六块半、两天两夜十二块等无法直接相容的口径,正文只保留已确认支出和资源压力，冲突数字使用中性表述，不强行统一,待全书资产总账和后文回收核定,open,2026-08-06
FD003,全书开篇,开篇“千万”与“数十万”数量口径,C,第1节；后文相关回忆,临死叫骂中的数量级与后文方源经历概述不完全一致，可能是人物夸张或叙述口径差异,保留现场人物的原始夸张口吻；总纲不把数量作为精确统计，正文不擅自改成单一数字,待全书语境核对后决定是否加中性修辞,open,2026-08-06
FD004,vol1-sec001-020,重生至开窍及寻宝时间链,B,第2节；第7节；第10-20节；timeline-ledger.csv,开窍后七天、暴雨三天三夜、发现酒虫后两天两夜等相对时间能够闭合，但具体日期和部分章节时间标签需全书交叉核对,正文沿用相对时间和事件顺序，不补写未经证实的绝对日期,待全书时间线核对,open,2026-08-06
FD005,vol1-sec009,十六岁继承与自立门户制度,C,第9节；logic-issues.md；后文遗产处理,族规、长子继承、自立门户和逐出家门的法律效果在局部叙述中存在语义空间,保留舅父舅母的谋算及方源的理解，制度效果使用原文明确措辞，不自行扩展法律结论,待后文实际处理结果核定,open,2026-08-06
FD006,全书统计,当前源文件字数与索引统计差异,A,source-audit.json；source-metadata.json；用户申报,用户申报总字数为14577005，CP936解码后当前文件去换行字符数为8320079，抓取网页和统计口径可能不同,两项统计分开记录，不能互相替代；以章节索引和源文内容作为结构证据,待确认统计口径后决定是否补充说明,open,2026-08-06
FD007,vol1-sec061-090,年末考核第一元石奖励,C,第81-82节；第86节；第89节；resource-ledger.csv,第81-82节称一百五十块元石；第86和第89节称一百块元石,正文按各节底本原口径保留；资源账本标记冲突，不以编辑判断统一金额,待后文资源流水和授权底稿版本交叉核定,open,2026-08-07
FD008,vol1-sec061-090,方源分家年龄口径,C,第90节舅母与方源的对白,舅母称方源如今已十六岁；方源紧接着称过年后才十六岁,保留人物对白原貌，不据此改动时间线；标记为局部口径或叙述误差待核,待回查章节日期和后文分家实际发生时间,open,2026-08-07
FD009,vol1-sec181-199,第一卷卷界污染,A,第199节结尾；其后重复的“第一节：黄龙江上竹筏倾”,第一卷文件混入第二卷第一节及五日漂流内容,第一卷止于天鹤上人带走方正；黄龙江内容移入第二卷且不删除,按正式卷界实施迁移,decided,2026-08-08
FD010,vol1-sec031-180,狼潮总量与三支主狼群结构,A,第31-32节；第94-97节；第117节；第121-179节,早期模糊规模不足以支撑三寨分别承压与后续伤亡,按三头雷冠头狼各率数万狼群处理；总量只写明显高于三万,采用三支数万级主狼群且不虚构精确总数,decided,2026-08-08
FD011,vol1-sec191-198,铁喙飞鹤首领名称与等级,A,第191-198节独战血河蟒并返回影响五转战局,早期万兽王或鹤王称谓与稳定战绩不相容,统一称铁喙飞鹤皇并按五转兽皇处理,以战绩优先于孤立早期标签,decided,2026-08-08
FD012,vol1-sec191-198,鹤群缺少四转层级的编制解释,B,第191-198节；天鹤上人优先斩杀三族族长,若军团具有四转万兽王则其缺席主要战场缺乏解释,采用人工军团方案B：大量百兽王和千兽王；无四转万兽王；唯一五转鹤皇,用户已确认方案B,decided,2026-08-08
FD013,vol1-sec061-090,凡人购买力锚点冲突,C,第61-72节及酒价房租工资猎物价格,一块元石可维持凡人家庭的时长与具体商品价格无法直接闭合,区分凡人生活篮子和蛊师修行篮子并逐项回测,待全卷消费流水核算后统一口径,open,2026-08-08
FD014,vol1-sec061-090,学堂每日上千元石成本对象不明,C,第61-72节学堂及蛊室成本叙述,若仅指学员口粮则与低阶教育规模不符；若指全蛊室运营则需明确范围,正文修订前先核定统计对象；未核清时使用中性表述,待学堂蛊虫数量与喂养清单核算,open,2026-08-08
FD015,vol1-sec194-198,血海传承巨量计数范围,B,第194-198节血海传承数量叙述；后期核心传承稀缺性,巨量传承若全为完整同级传承会破坏价值尺度,计数包含诱饵残篇仿制线索和外围布置；核心完整传承仍然稀缺,按范围裁决修订相关叙述,decided,2026-08-08
